"filename", "language", "PHP", "JavaScript", "Markdown", "CSS", "XML", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\dpr\resources\views\admin\users\edit.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\dpr\resources\views\admin\users\index.blade.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 2, 5, 54
"c:\xampp\htdocs\dpr\resources\views\admin\users\partials\form.blade.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 2, 69
"c:\xampp\htdocs\dpr\resources\views\auth\forgot-password.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\xampp\htdocs\dpr\resources\views\auth\login.blade.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\xampp\htdocs\dpr\resources\views\auth\register.blade.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 4, 63
"c:\xampp\htdocs\dpr\resources\views\auth\reset-password.blade.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 3, 60
"c:\xampp\htdocs\dpr\resources\views\auth\verify-email.blade.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\dpr\resources\views\layouts\app.blade.php", "PHP", 150, 0, 0, 0, 0, 0, 0, 0, 39, 189
"c:\xampp\htdocs\dpr\resources\views\partials\alerts.blade.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\xampp\htdocs\dpr\resources\views\user\profile.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\xampp\htdocs\dpr\resources\views\welcome.blade.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\xampp\htdocs\dpr\routes\api.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\dpr\routes\channels.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\xampp\htdocs\dpr\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\dpr\routes\web.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 12, 8, 43
"c:\xampp\htdocs\dpr\server.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 9, 5, 22
"c:\xampp\htdocs\dpr\tests\CreatesApplication.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 5, 6, 23
"c:\xampp\htdocs\dpr\tests\Feature\ExampleTest.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\xampp\htdocs\dpr\tests\Feature\HomepageTest.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 5, 5, 24
"c:\xampp\htdocs\dpr\tests\Feature\LoginPageTest.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 5, 14, 61
"c:\xampp\htdocs\dpr\tests\TestCase.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\xampp\htdocs\dpr\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\dpr\webpack.mix.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 11, 3, 18
"Total", "-", 3775, 8, 42, 54, 29, 7787, 13, 1914, 1071, 14693
